Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,67.945,-88.265,0,top
C2,1u,C_0603_1608Metric,71.12,-88.265,0,top
C3,10u,C_0603_1608Metric,106.3625,-90.805,0,top
C4,20p,C_0603_1608Metric,106.3625,-92.3925,0,top
C5,20p,C_0603_1608Metric,106.3625,-93.98,0,top
D1,B5819W,D_SOD-123F,97.79,-89.535,270,top
D2,B5819W,D_SOD-123F,100.0125,-89.535,270,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174,-81,180,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182,-78,180,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182,-72,0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174,-75,0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174,-69,180,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182,-66,180,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182,-60,0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174,-63,0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174,-57,180,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182,-54,180,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153,-57,180,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161,-54,180,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161,-60,0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153,-63,0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153,-69,180,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161,-66,180,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161,-72,0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153,-75,0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153,-81,180,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161,-78,180,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128,-81,180,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136,-78,180,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136,-72,0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128,-75,0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128,-69,180,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136,-66,180,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136,-60,0,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128,-63,0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128,-57,180,top
D32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136,-54,180,top
D33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107,-57,180,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115,-54,180,top
D35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115,-60,0,top
D36,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107,-63,0,top
D37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107,-69,180,top
D38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115,-66,180,top
D39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115,-72,0,top
D40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107,-75,0,top
D41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107,-81,180,top
D42,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115,-78,180,top
D43,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,82,-81,180,top
D44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90,-78,180,top
D45,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90,-72,0,top
D46,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,82,-75,0,top
D47,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,82,-69,180,top
D48,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90,-66,180,top
D49,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90,-60,0,top
D50,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,82,-63,0,top
D51,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,82,-57,180,top
D52,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90,-54,180,top
D53,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61,-57,180,top
D54,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69,-54,180,top
D55,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69,-60,0,top
D56,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61,-63,0,top
D57,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61,-69,180,top
D58,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69,-66,180,top
D59,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69,-72,0,top
D60,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61,-75,0,top
D61,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61,-81,180,top
D62,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69,-78,180,top
J1,USB_B_Micro,USB_Mini-B_Wuerth_65100516121_Horizontal,56.515,-92.3925,270,top
Q1,S9013,SOT-23,106.3625,-86.6775,90,top
R1,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.06,-93.6625,90,top
R2,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.2375,-93.0275,180,top
R3,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,97.4725,-93.6625,90,top
R4,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.2375,-91.44,180,top
R5,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.2375,-89.8525,180,top
R6,10k,R_0603_1608Metric,106.3625,-89.2175,180,top
R7,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.2375,-88.265,180,top
U1,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,114.6175,-93.0275,0,top
U2,LT1083-3.3,SOT-223,69.5325,-93.6625,90,top
U3,RX-8025T-UB,SOIC-14_3.9x8.7mm_P1.27mm,92.499999,-91.914999,180,top
Y1,X322516MLB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,105.875,-96.52,180,top
